['Date', 'Delta', 'Gamma', 'Vega', 'Theta', '#Call', '#Put', '#CashSpot', '$P&L', '$Notional']
[20130830, -5910.6886141837058, -117.54545917473925, -34173.316174566819, 10393.000179234654, -13998, -13998, 0, -1965.6826755865186, 889512.80684767384]
[20130903, -5723.6075718352313, -116.41585057163343, -30399.47153122356, 8892.7827481903259, -13998, -13998, 0, -91542.918785242044, 797969.88806243183]
[20130904, -4311.2001387392047, -139.31454306529136, -31234.566204611911, 9756.725478487182, -13998, -13998, 0, -95398.278934010261, 702571.60912842152]
[20130905, -4134.7900528645605, -139.74691987902534, -29864.840800116566, 9824.4121655426097, -13998, -13998, 0, -22152.230750062321, 680419.37837835925]
[20130906, -1771.7668804745538, -172.36069562711282, -40162.138762885792, 12338.809184331341, -14279, -14279, 0, -27897.54765215738, 695910.81704392808]
[20130909, 1062.1713790411454, -194.87121580862515, -36935.253441791334, 12393.158999892241, -14279, -14279, 0, -41933.563315794177, 653977.25372813386]
[20130910, 3609.2455558845422, -214.4631063697675, -31979.454028265332, 11495.712786417807, -14279, -14279, 0, -12323.530598437937, 641653.72312969598]
[20130911, 4923.6865868191599, -232.33729836678194, -29181.959536438302, 11412.158042120886, -14279, -14279, 0, -14058.701978233716, 627595.02115146222]
[20130912, 3253.2895344303606, -244.87090629433368, -27368.951225905243, 12274.560067763168, -14279, -14279, 0, -29945.878727480929, 597649.14242398134]
[20130913, 6264.5924164469661, -180.53966459448424, -35461.599002213668, 10137.030299736785, -14971, -14971, 0, 77252.305158376374, 714948.09665382898]
[20130916, 8110.1018475717246, -143.03079164616128, -29461.618999274338, 8593.046493273283, -14971, -14971, 0, 62599.589038624239, 777547.68569245317]
[20130917, 9196.2288942582491, -111.1310338189038, -24219.395767186186, 7359.5894627957205, -14971, -14971, 0, 61616.337609793874, 839164.02330224705]
[20130918, 11648.089192118387, -62.11189827063388, -14674.05171527616, 4052.3633901330827, -14971, -14971, 0, 205805.75892073743, 1044969.7822229845]
[20130919, 11713.81413028428, -56.082104111481726, -12818.977074078666, 3519.3162998024882, -14971, -14971, 0, -51592.967329180101, 993376.81489380437]
[20130920, 8579.2343805445762, -148.82287607341968, -37079.080837544949, 8407.959361105608, -17020, -17020, 0, -141343.72343216799, 955510.35078986816]
[20130923, 7383.0122866445727, -142.5518296494603, -35716.093121937956, 8769.1298504796796, -17020, -17020, 0, -63989.507637066607, 891520.84315280151]
[20130924, 6769.8959184449204, -175.30799873981505, -36930.314195491956, 10389.197086793283, -17020, -17020, 0, -48853.948944899777, 842666.89420790179]
[20130925, 6107.911206388977, -171.81180355812771, -34670.658956253261, 9685.59247626662, -17020, -17020, 0, -71131.042805923324, 771535.85140197841]
[20130926, 7578.5243372865698, -146.54293817622218, -32540.238197737737, 8432.1331957097991, -17020, -17020, 0, 29189.408450412127, 800725.2598523905]
[20130927, 3355.8642122028159, -179.53101701705907, -46950.369135866873, 12705.186638610616, -17611, -17611, 0, 71478.52337948393, 913869.86291394522]
[20130930, 1538.0131706360858, -186.93315227236656, -46170.891754839438, 14542.197650227807, -17611, -17611, 0, -15062.868402131939, 898806.99451181327]
[20131001, 4409.8661004866271, -177.20257607440101, -42518.025033360413, 11847.359736798675, -17611, -17611, 0, -21727.728452855841, 877079.26605895744]
[20131002, 4246.9713281884824, -172.41095504967163, -41121.775280677575, 12904.781196648266, -17611, -17611, 0, 7378.2891554318958, 884457.55521438934]
[20131003, 1556.9456929886246, -180.83090451238328, -39707.685615408496, 15581.767856687522, -17611, -17611, 0, -23166.977035705622, 861290.57817868376]
[20131004, 464.47317992621834, -209.56004501805174, -52379.695877080478, 16752.887957173345, -17920, -17920, 0, 32099.264446488189, 120778.48728930597]
[20131007, -2411.1700051045827, -216.30882573485334, -50290.210525182767, 21229.046094045294, -17920, -17920, 0, 70319.180812714912, 191097.66810202086]
[20131008, -6492.1534421602109, -209.32885158033565, -44500.843990845882, 24372.610674018793, -17920, -17920, 0, 120159.13496687012, 311256.80306889099]
[20131009, -6809.4612995023144, -236.41773166746074, -41519.904146870926, 25421.058904559399, -17920, -17920, 0, -65957.186074173806, 245299.61699471719]
[20131010, 1428.8636370744387, -209.87605886154608, -43580.231656217831, 17440.016828704014, -17920, -17920, 0, -222128.66049220398, 23170.956502513203]
[20131011, 982.86128294863215, -225.40618439809597, -41279.946071317914, 16025.353309438673, -15216, -15216, 0, 15170.886275130353, -125959.69639372345]
